Source:,C:\Users\Owner\Documents\MTU\OSHE\BREAD_FieldSolarPower\Electrical Design\BREAD_Slice.kicad_sch,,,,,,,,
Date:,11/2/2022 18:03,,,,,,,,
Tool:,Eeschema (6.0.2),,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,45,,,,,,,,
,,,,,,,,,
Individual Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,,Footprint,Part#,,,
,,0.5A1,SOLDERJUMPER,,Adafruit_BQ24074:SOLDERJUMPER_ARROW_NOPASTE,,,,
,,1.5A1,SOLDERJUMPER,,Adafruit_BQ24074:SOLDERJUMPER_ARROW_NOPASTE,,,,
,,1A1,SOLDERJUMPERCLOSED,,Adafruit_BQ24074:SOLDERJUMPER_CLOSEDWIRE,,,,
,,A1,Arduino_Nano_v3.x,,Module:Arduino_Nano,,,,
,,BATT1,JST 2PH,,Adafruit_BQ24074:JST-PH-2-SMT-RA,,,,
,,C1,10uF,,Adafruit_BQ24074:0805-NO,,,,
,,C2,10uF,,Adafruit_BQ24074:0805-NO,,,,
,,C3,22uF,,Adafruit_BQ24074:0805-NO,,,,
,,C4,C,,Adafruit_BQ24074:0805-NO,,,,
,,C5,C,,Adafruit_BQ24074:0805-NO,,,,
,,C6,22uF,,Adafruit_BQ24074:0805-NO,,,,
,,C7,10uF,,Adafruit_BQ24074:0805-NO,,,,
,,C8,10uF,,Adafruit_BQ24074:0805-NO,,,,
,,D1,SK34A,,Adafruit_BQ24074:SMADIODE,,,,
,,D2,SK34A,,Adafruit_BQ24074:SMADIODE,,,,
,,D3,D_Schottky,,Diode_SMD:D_SMA_Handsoldering,,,,
,,D4,RED,,Adafruit_BQ24074:CHIPLED_0603,,,,
,,D5,GREEN,,Adafruit_BQ24074:CHIPLED_0603,,,,
,,H1,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,,,,
,,H2,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,,,,
,,H3,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,,,,
,,H4,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,,,,
,,J1,Conn_01x10_Female,,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal,,,,
,,J2,USB_B_Micro,,Connector_USB:USB_Micro-B_GCT_USB3076-30-A,USB3076-30-A,,,
,,J3,Screw_Terminal_01x02,,BREAD_Slice:TerminalBlock_Pheonix_MKDS1.5-2pol,,,,
,,J4,Screw_Terminal_01x02,,BREAD_Slice:TerminalBlock_Pheonix_MKDS1.5-2pol,,,,
,,L1,22uH,,Inductor_SMD:L_Taiyo-Yuden_NR-50xx_HandSoldering,NRS5020T220MMGJ,,,
,,Logo1,Logo_Open_Hardware_Small,,Symbol:OSHW-Symbol_6.7x6mm_SilkScreen,,,,
,,R1,590,,Adafruit_BQ24074:0603-NO,,,,
,,R2,1K,,Adafruit_BQ24074:0603-NO,,,,
,,R3,2K,,Adafruit_BQ24074:0603-NO,,,,
,,R4,1K,,Adafruit_BQ24074:0603-NO,,,,
,,R5,10K,,Adafruit_BQ24074:0603-NO,,,,
,,R6,10K,,Adafruit_BQ24074:0603-NO,,,,
,,R7,39k,,Adafruit_BQ24074:0603-NO,,,,
,,R8,2.2k,,Adafruit_BQ24074:0603-NO,,,,
,,R9,10K,,Adafruit_BQ24074:0603-NO,,,,
,,R10,10K,,Adafruit_BQ24074:0603-NO,,,,
,,R11,10K,,Adafruit_BQ24074:0603-NO,,,,
,,SJ1,SOLDERJUMPER_2WAY,,Adafruit_BQ24074:SOLDERJUMPER_2WAY_OPEN_NOPASTE,,,,
,,SJ2,SOLDERJUMPER_2WAY,,Adafruit_BQ24074:SOLDERJUMPER_2WAY_OPEN_NOPASTE,,,,
,,THERM1,SOLDERJUMPERCLOSED,,Adafruit_BQ24074:SOLDERJUMPER_CLOSEDWIRE,,,,
,,U1,MT3608,,Package_TO_SOT_SMD:SOT-23-6,,,,
,,X1,2.1mm DC,,Adafruit_BQ24074:DCJACK_2MM_SMT,,,,
,,X2,BQ24074,,Adafruit_BQ24074:QFN16_3MM,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,Must Purchase,Footprint,Part#, Price/each ,Total Price,link
3,1,A1,Arduino_Nano_v3.x,n,Module:Arduino_Nano,,, $-   ,
4,1,BATT1,JST 2PH,y,Adafruit_BQ24074:JST-PH-2-SMT-RA,,, $-   ,
5,4,"C1, C2, C7, C8",10uF,y,Adafruit_BQ24074:0805-NO,,, $-   ,
6,2,"C3, C6",22uF,y,Adafruit_BQ24074:0805-NO,,, $-   ,
7,2,"C4, C5",C,n,Adafruit_BQ24074:0805-NO,,, $-   ,
8,2,"D1, D2",SK34A,y,Adafruit_BQ24074:SMADIODE,,, $-   ,
9,1,D3,D_Schottky,y,Diode_SMD:D_SMA_Handsoldering,,, $-   ,
10,1,D4,RED,y,Adafruit_BQ24074:CHIPLED_0603,,, $-   ,
11,1,D5,GREEN,y,Adafruit_BQ24074:CHIPLED_0603,,, $-   ,
13,1,J1,Conn_01x10_Female,y,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal,,, $-   ,
14,1,J2,USB_B_Micro,y,Connector_USB:USB_Micro-B_GCT_USB3076-30-A,USB3076-30-A, $0.70 , $0.70 ,https://www.digikey.com/en/products/detail/gct/USB3076-30-A/9859635
15,2,"J3, J4",Screw_Terminal_01x02,n,BREAD_Slice:TerminalBlock_Pheonix_MKDS1.5-2pol,,, $0.62 ,
16,1,L1,22uH,y,Inductor_SMD:L_Taiyo-Yuden_NR-50xx_HandSoldering,NRS5020T220MMGJ, $0.31 , $0.31 ,https://www.digikey.com/en/products/detail/taiyo-yuden/NRS5020T220MMGJ/2230196
18,1,R1,590,y,Adafruit_BQ24074:0603-NO,,, $-   ,
19,2,"R2, R4",1K,y,Adafruit_BQ24074:0603-NO,,, $-   ,
20,1,R3,2K,y,Adafruit_BQ24074:0603-NO,,, $-   ,
21,5,"R5, R6, R9, R10, R11",10K,y,Adafruit_BQ24074:0603-NO,,, $-   ,
22,1,R7,39k,y,Adafruit_BQ24074:0603-NO,,, $-   ,
23,1,R8,2.2k,y,Adafruit_BQ24074:0603-NO,,, $-   ,
25,1,U1,MT3608,y,Package_TO_SOT_SMD:SOT-23-6,,, $-   ,
26,1,X1,2.1mm DC,y,Adafruit_BQ24074:DCJACK_2MM_SMT,,, $-   ,
27,1,X2,BQ24074,y,Adafruit_BQ24074:QFN16_3MM,, $3.65 , $3.65 ,https://www.digikey.com/en/products/detail/texas-instruments/BQ24074RGTR/2047269
